9/13/2019 2:51:12 PM - *****************FollowUpService - FollowUpProc Starts**************
9/13/2019 2:51:12 PM - Please wait ..fetching policy list from database
9/13/2019 2:51:12 PM - Policy list found from database, count: 1
9/13/2019 2:58:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Rflag: False
9/13/2019 2:58:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculating 
9/13/2019 2:58:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculated 
9/13/2019 2:58:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, issfolllst calculated 
9/13/2019 2:58:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count == 0 entered
9/13/2019 2:58:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Advance found as: 
9/13/2019 2:58:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, isIssueRaise: True
9/13/2019 2:58:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Iissfolllst.Count = 0
9/13/2019 2:58:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Issue raised for MissInv (2)
9/13/2019 2:58:38 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, AutoPolicyTerminateProcess run
9/13/2019 2:58:43 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count: 0
9/13/2019 2:58:43 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Rflag: False
9/13/2019 2:58:43 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculating 
9/13/2019 2:58:43 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculated 
9/13/2019 2:58:43 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, issfolllst calculated 
9/13/2019 2:58:43 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count == 0 entered
9/13/2019 2:58:43 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Advance found as: 
9/13/2019 2:58:43 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, isIssueRaise: True
9/13/2019 2:58:43 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Iissfolllst.Count = 0
9/13/2019 2:58:43 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Issue raised for MissInv (2)
9/13/2019 2:58:43 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, AutoPolicyTerminateProcess run
9/13/2019 2:58:47 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count: 0
9/13/2019 2:58:47 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Rflag: False
9/13/2019 2:58:47 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculating 
9/13/2019 2:58:47 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculated 
9/13/2019 2:58:47 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, issfolllst calculated 
9/13/2019 2:58:47 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count == 0 entered
9/13/2019 2:58:47 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Advance found as: 
9/13/2019 2:58:47 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, isIssueRaise: True
9/13/2019 2:58:47 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Iissfolllst.Count = 0
9/13/2019 2:58:47 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Issue raised for MissFirst (1)
9/13/2019 2:58:47 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, AutoPolicyTerminateProcess run
9/13/2019 2:58:53 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count: 0
9/13/2019 2:58:53 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Rflag: False
9/13/2019 2:58:53 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculating 
9/13/2019 2:58:53 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculated 
9/13/2019 2:58:53 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, issfolllst calculated 
9/13/2019 2:58:53 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count == 0 entered
9/13/2019 2:58:53 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Advance found as: 
9/13/2019 2:58:53 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, isIssueRaise: True
9/13/2019 2:58:53 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Iissfolllst.Count = 0
9/13/2019 2:58:53 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Issue raised for MissInv (2)
9/13/2019 2:58:53 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, AutoPolicyTerminateProcess run
9/13/2019 2:58:59 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count: 4
9/13/2019 2:59:00 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Rflag: False
9/13/2019 2:59:01 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculating 
9/13/2019 2:59:02 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculated 
9/13/2019 2:59:03 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, issfolllst calculated 
9/13/2019 2:59:05 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, PolicyPaymentEntries > 0 
9/13/2019 2:59:07 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, processing for PMC, firstDate: 6/1/2019 12:00:00 AM, LastDate: 6/30/2019 12:00:00 AM
9/13/2019 3:28:00 PM - *****************FollowUpService - FollowUpProc Starts**************
9/13/2019 3:28:00 PM - Please wait ..fetching policy list from database
9/13/2019 3:28:00 PM - Policy list found from database, count: 1
9/13/2019 3:28:00 PM - Policy ID starting: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d
9/13/2019 3:28:00 PM - Follow up running  for Policy number: testSpeed
9/13/2019 3:28:00 PM - Details fetching for policyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d
9/13/2019 3:28:00 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _MasterPolicyMode : Monthly
9/13/2019 3:28:00 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Last follow up runs updated
9/13/2019 3:28:01 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupDate range found as: {FromDate=7/1/2019 12:00:00 AM}{Paymentmode=Monthly}{ToDate=6/28/2019 12:00:00 AM}
9/13/2019 3:28:09 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, IsTrackPayment true 
9/13/2019 3:29:21 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, DateRangeForMissingLst calculated successfully
9/13/2019 3:29:23 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst count: 5
9/13/2019 3:29:32 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Processing starts for  _DateRangeForMissingLst
9/13/2019 3:29:40 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count: 0
9/13/2019 3:29:40 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Rflag: False
9/13/2019 3:29:40 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculating 
9/13/2019 3:29:40 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculated 
9/13/2019 3:29:40 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, issfolllst calculated 
9/13/2019 3:29:40 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count == 0 entered
9/13/2019 3:29:40 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Advance found as: 
9/13/2019 3:29:40 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, isIssueRaise: True
9/13/2019 3:29:40 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Iissfolllst.Count > 0
